S.No;RMSE;std. RMSE;Meaning_Error;std. Meaning Error;Sentence_Error;std. Sentence Error;reservoir_size;seed
2;0.29444831423914047;0.003047397160467185;0.46150362318840576;0.020711878166536819;0.97608695652173905;0.015217391304347815;90;1
3;0.29748344339681626;0.0045926481067816672;0.47971014492753622;0.03098620543945696;0.99347826086956526;0.013919835298767051;90;2
4;0.29334284449880943;0.0039815669363695043;0.46702898550724636;0.031456600195542653;0.98913043478260865;0.014583052027172531;90;3
5;0.29563049799422808;0.006088399770071631;0.46014492753623193;0.039476545670246187;0.98478260869565215;0.013919835298767053;90;4
6;0.25502252116839408;0.0065154547305840424;0.22373188405797101;0.043042044820712756;0.7021739130434782;0.059970061844059661;291;0
7;0.25844134829609572;0.0048665402133082443;0.23423913043478262;0.015616530470771987;0.72173913043478266;0.043260323352461744;291;1
8;0.25663623912208683;0.005475979473803674;0.21884057971014492;0.017433711882984187;0.7021739130434782;0.043532574770653885;291;2
9;0.25199886408136224;0.0048390576281823246;0.21467391304347833;0.024736720164800691;0.6891304347826086;0.042433089773789415;291;3
10;0.25377474352044516;0.00767410002568337;0.20869565217391309;0.031239364919999825;0.64130434782608703;0.037965759122984735;291;4
11;0.24077863952139444;0.0069730725990918381;0.14583333333333331;0.026818325633642025;0.49347826086956526;0.075337928048536756;493;0
12;0.23733818267225509;0.0089561705152736652;0.13097826086956521;0.022685470951967018;0.43913043478260871;0.061333634694199494;493;1
13;0.23599692431326763;0.0072017159658188147;0.13523550724637684;0.017272246840584329;0.44782608695652176;0.037903469074266713;493;2
14;0.24013793843500819;0.0078482596920563304;0.12998188405797101;0.029870024265330385;0.44782608695652176;0.070241280093058758;493;3
15;0.23899837036180699;0.0093629522523264903;0.13777173913043478;0.031667811847100602;0.4521739130434782;0.053071980937972607;493;4
16;0.22776678584232601;0.0064991622413153203;0.10217391304347827;0.019531640539048632;0.33260869565217394;0.045652173913043492;695;0
17;0.23262541483739438;0.0094743886028003897;0.11222826086956524;0.01575904745422662;0.35434782608695647;0.048658759316520417;695;1
18;0.23111597010636459;0.010227569657749727;0.11068840579710144;0.018182847467571896;0.36956521739130432;0.043478260869565209;695;2
19;0.22787786352975609;0.0062126615605778241;0.0986413043478261;0.017274146820992192;0.34130434782608693;0.044604966366702595;695;3
20;0.22995955880712343;0.014034248735850971;0.10815217391304348;0.028492178625126822;0.34347826086956512;0.063603212340555618;695;4
21;0.22895687138670642;0.013956586418407474;0.10144927536231885;0.0199686663813846;0.28695652173913044;0.034782608695652174;896;0
22;0.23051588071372855;0.02289622117023743;0.10081521739130436;0.025086001256521894;0.28478260869565214;0.066259785452731174;896;1
23;0.22827082149688799;0.014781514395402991;0.09791666666666668;0.020421456300707699;0.29130434782608694;0.037903469074266727;896;2
24;0.22661078897710801;0.014744035800511066;0.089221014492753631;0.025671798407189115;0.27826086956521739;0.067915214573101346;896;3
25;0.22515981899164084;0.01311889083823423;0.10018115942028986;0.03267957273053048;0.29347826086956519;0.05933627853893992;896;4
26;0.21934633483564978;0.012288148011610954;0.091666666666666674;0.019316216104063189;0.26956521739130429;0.055167728436737042;1098;0
27;0.22514783196808077;0.020619471167582743;0.092119565217391314;0.019803840400866149;0.25000000000000006;0.048852619683139635;1098;1
28;0.23135319884489242;0.016177588218027741;0.097192028985507245;0.017810145531941483;0.2521739130434783;0.029488391230979422;1098;2
29;0.22478717695277345;0.01050078178990581;0.096648550724637683;0.029180306694443235;0.27608695652173909;0.045652173913043471;1098;3
30;0.22545357806345021;0.019976283315544706;0.092844202898550734;0.037426523444074399;0.25652173913043474;0.070643812214225735;1098;4
31;0.24165544757818838;0.026248577501998379;0.098641304347826086;0.021793598732304038;0.2456521739130435;0.048658759316520417;1776;0
32;0.24297056235715223;0.035273788009163289;0.09791666666666668;0.027418734109204031;0.25;0.049810605379954784;1776;1
33;0.23624215200793328;0.032977077273708973;0.093478260869565219;0.022440380532176844;0.23913043478260873;0.033678116053977532;1776;2
34;0.22881176664568198;0.019828117742452557;0.094836956521739152;0.026180670290300086;0.2608695652173913;0.054129998252124924;1776;3
35;0.23667100112727893;0.024466973122807344;0.10461956521739132;0.027319206980589851;0.23913043478260865;0.079578283555317944;1776;4
36;0.24776856921182805;0.026492472463445479;0.10099637681159419;0.017000293821669794;0.24782608695652172;0.039130434782608692;2882;0
37;0.2498587388795494;0.038778418759089668;0.10452898550724639;0.025630056788155647;0.25217391304347825;0.051627574291469212;2882;1
38;0.24138537963071585;0.026387328941363256;0.10054347826086955;0.020310871620541973;0.25434782608695655;0.053294133357092446;2882;2
39;0.25460477270411747;0.035577356439119023;0.1173913043478261;0.030765648900664081;0.28695652173913039;0.053955102808655897;2882;3
40;0.24709863815229313;0.033216176329003783;0.11893115942028987;0.033286164050266666;0.26956521739130435;0.079101762602870662;2882;4
41;0.24531969967788977;0.023843178845170621;0.10407608695652174;0.017935926255441107;0.2456521739130435;0.029247008797986317;3988;0
42;0.2492691579898903;0.036052356565376781;0.10969202898550726;0.024055522236557533;0.2608695652173913;0.043478260869565216;3988;1
43;0.24750808032462582;0.038331662356788018;0.11114130434782607;0.025833644580111715;0.2565217391304348;0.042153737890576769;3988;2
44;0.25129010708617522;0.034648429038180342;0.11775362318840579;0.026643371598908613;0.28913043478260864;0.045652173913043478;3988;3
45;0.24591740491976949;0.029286446083444474;0.10815217391304348;0.038018021158224814;0.25652173913043474;0.073913043478260873;3988;4
46;0.24457730674745126;0.027934110092751159;0.09583333333333334;0.021779853162515087;0.23695652173913045;0.043964670469905834;5094;0
47;0.25141074012743114;0.032217157342563536;0.11286231884057973;0.026221848308470849;0.25869565217391305;0.041759505896301195;5094;1
48;0.2556591193569413;0.032920531249017108;0.11077898550724638;0.022408365820562687;0.25869565217391305;0.047079147451538503;5094;2
49;0.24789956474884067;0.032479084988224008;0.10769927536231882;0.021340894968267587;0.27173913043478259;0.060908372722269143;5094;3
50;0.2533880532546357;0.026725102660234576;0.12590579710144928;0.022441111763111501;0.2673913043478261;0.053294133357092439;5094;4
