S.No;RMSE;std. RMSE;Meaning_Error;std. Meaning Error;Sentence_Error;std. Sentence Error;reservoir_size;seed
1;0.62182835297274019;0.0074510581778382285;0.3611413043478261;0.035638367959917303;0.89782608695652166;0.036441423074435243;90;0
2;0.63342417622490954;0.012428593167626293;0.38759057971014493;0.030040389084872207;0.92826086956521736;0.057557401282059696;90;1
3;0.634110967819142;0.0094165082520954162;0.39375000000000004;0.025056548364490061;0.92826086956521725;0.040143881114389997;90;2
4;0.62935426811092887;0.01188970980840761;0.37418478260869559;0.018031733634745091;0.92826086956521736;0.029247008797986352;90;3
5;0.63479509919999055;0.010835150565618143;0.39855072463768115;0.042557043152281551;0.94347826086956521;0.036635433796418961;90;4
6;0.56000287245158842;0.010493758408653808;0.17690217391304347;0.026374254584213861;0.61521739130434783;0.067391304347826086;291;0
7;0.56557618137230958;0.010091523378651769;0.18722826086956521;0.019515881503402877;0.62608695652173918;0.062099377639503045;291;1
8;0.55901311517447572;0.0098595003498036602;0.16594202898550728;0.026997616525290324;0.58478260869565213;0.07621107888242655;291;2
9;0.55865506768189011;0.0041775206704615288;0.17309782608695651;0.018298222450952004;0.59130434782608698;0.054824000925732586;291;3
10;0.56588346893052877;0.013273051921172533;0.18106884057971012;0.022515754770281331;0.59565217391304359;0.058494017595972662;291;4
11;0.53412760523118186;0.011121947372883237;0.10652173913043479;0.022642028799976253;0.37391304347826082;0.056521739130434775;493;0
12;0.5379681807959793;0.015238258247318358;0.11947463768115943;0.022144655143347111;0.44130434782608691;0.059970061844059654;493;1
13;0.53526489608541672;0.011286557972478295;0.113768115942029;0.025607638610764014;0.38695652173913048;0.048415342285478447;493;2
14;0.54241147576421134;0.012716518943620516;0.12346014492753625;0.019898900703615517;0.40217391304347833;0.063936700738490185;493;3
15;0.5421633489229617;0.016084663371227936;0.11847826086956523;0.024486026217849007;0.41304347826086951;0.049572844569527735;493;4
16;0.52996188741419059;0.012047246299738213;0.099365942028985507;0.022854285836958733;0.31304347826086953;0.042599821613620498;695;0
17;0.52926040010904907;0.0177407597222746;0.095652173913043481;0.029290178665682308;0.31304347826086959;0.055167728436737042;695;1
18;0.53034951895303384;0.012369787101559605;0.10742753623188406;0.022522130823072545;0.33913043478260868;0.056855203611400083;695;2
19;0.52640189937997517;0.007236083805653431;0.092300724637681159;0.018427795894264971;0.34565217391304348;0.058695652173913038;695;3
20;0.53107082924203541;0.020726452240293666;0.093478260869565219;0.019502213371871829;0.31739130434782609;0.052534982493889444;695;4
21;0.52477566616746762;0.015524445577592246;0.082971014492753611;0.026821996611091782;0.2673913043478261;0.046675892507791063;896;0
22;0.52752389847373271;0.026970783696408349;0.089402173913043476;0.035918138865173851;0.2565217391304348;0.050329725664305325;896;1
23;0.51741077957438886;0.012444476468769771;0.082518115942028986;0.020795689052176162;0.24782608695652172;0.044763609308639131;896;2
24;0.51849731574534386;0.015058423370473327;0.080887681159420285;0.020343364030868092;0.25217391304347825;0.049763144096780849;896;3
25;0.52007219637987012;0.018542500392734574;0.083967391304347813;0.029157804261627427;0.25434782608695655;0.068088955492894884;896;4
26;0.52551201791543944;0.017876005740384227;0.087952898550724662;0.033109207327431923;0.22608695652173916;0.080287762228779952;1098;0
27;0.52387776457473145;0.032824798760957924;0.073913043478260873;0.027907372029063904;0.21086956521739131;0.070140286108268168;1098;1
28;0.51478932587605897;0.01683236713783641;0.075452898550724651;0.021610618031403513;0.20652173913043476;0.054347826086956527;1098;2
29;0.52078508343760999;0.011414130223279167;0.07952898550724638;0.007630231771250974;0.2434782608695652;0.034782608695652167;1098;3
30;0.52119350517630325;0.027544464399116453;0.082518115942028986;0.033252624605633788;0.22173913043478261;0.067215760146696973;1098;4
31;0.51786150768884398;0.01975469843427928;0.080344202898550723;0.021803384812156133;0.19565217391304346;0.038888138739126776;1776;0
32;0.51194700172975061;0.020790235124572062;0.073278985507246375;0.019896426639114655;0.18913043478260869;0.040143881114389969;1776;1
33;0.50874186686318668;0.018937736934241025;0.07146739130434783;0.022595779999526892;0.19347826086956521;0.045026772124365178;1776;2
34;0.5126689858258151;0.012903487095402915;0.079257246376811585;0.019390194409970696;0.21086956521739131;0.051490083836204389;1776;3
35;0.51919417832600734;0.028760894115032447;0.074456521739130435;0.029414845644630143;0.19347826086956524;0.05275939608483303;1776;4
36;0.50890841786431062;0.019760792998788603;0.063949275362318841;0.024258457232932011;0.16956521739130434;0.059772726455945731;2882;0
37;0.51724141413995262;0.025366905435053096;0.077989130434782616;0.026487248153494573;0.19565217391304346;0.050517174080966308;2882;1
38;0.50805681313122208;0.018483217529994551;0.067481884057971023;0.015098580790324554;0.17391304347826086;0.042377366716560713;2882;2
39;0.51610952100220453;0.02174696501002665;0.072735507246376813;0.026290126959989345;0.18260869565217391;0.0608695652173913;2882;3
40;0.51443031469957123;0.027481907838262994;0.067663043478260868;0.028897766886074264;0.18043478260869567;0.069463240472480245;2882;4
41;0.51800848042454539;0.022333059462496353;0.067753623188405804;0.024502774298641828;0.17826086956521742;0.054824000925732565;3988;0
