"S.No","RMSE","std. RMSE","Meaning_Error","std. Meaning_Error","Sentence_Error","std. Sentence_Error","corpus"
1,0.5206359656,0.0011962617,0.1218602012,0.0019429389,0.5484357748,0.0052767814,6
2,0.483946421,0.0005148663,0.0613303582,0.000300812,0.3263709974,0.004684098,12
3,0.4684893719,0.0003929159,0.0374533357,0.0004484167,0.2148383678,0.0042079507,25
4,0.4632324197,0.0002587596,0.0296465739,0.0004436966,0.1725899757,0.0039063882,50
5,0.4615749244,0.0002120808,0.027243067,0.000326649,0.159876943,0.0030361682,75
6,0.4606760775,0.0002048819,0.026035029,0.0002100131,0.154035018,0.002583382,100
